policyVersion,regionDatasetVersion,stage,groupKey,groupLabel,parentGroupKey
# policySource=https://github.com/woowacourse-teams/2026-toadzip/issues/95
# regionSource=classpath:region/regions.csv
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44270,당진시,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44710,금산군,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44760,부여군,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44770,서천군,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44790,청양군,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44800,홍성군,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44810,예산군,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:44825,태안군,METROPOLITAN:44
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47110,포항시,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47130,경주시,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47150,김천시,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47170,안동시,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47190,구미시,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47210,영주시,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47230,영천시,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47250,상주시,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47280,문경시,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47290,경산시,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47730,의성군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47750,청송군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47760,영양군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47770,영덕군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47820,청도군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47830,고령군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47840,성주군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47850,칠곡군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47900,예천군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47920,봉화군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47930,울진군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:47940,울릉군,METROPOLITAN:47
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48120,창원시,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48170,진주시,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48220,통영시,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48240,사천시,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48250,김해시,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48270,밀양시,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48310,거제시,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48330,양산시,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48720,의령군,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48730,함안군,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48740,창녕군,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48820,고성군,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48840,남해군,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48850,하동군,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48860,산청군,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48870,함양군,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48880,거창군,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:48890,합천군,METROPOLITAN:48
2026-09-02-v1,2026-07-01,3,BASIC_REGION:50110,제주시,METROPOLITAN:50
2026-09-02-v1,2026-07-01,3,BASIC_REGION:50130,서귀포시,METROPOLITAN:50
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51110,춘천시,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51130,원주시,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51150,강릉시,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51170,동해시,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51190,태백시,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51210,속초시,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51230,삼척시,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51720,홍천군,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51730,횡성군,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51750,영월군,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51760,평창군,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51770,정선군,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51780,철원군,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51790,화천군,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51800,양구군,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51810,인제군,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51820,고성군,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:51830,양양군,METROPOLITAN:51
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52110,전주시,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52130,군산시,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52140,익산시,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52180,정읍시,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52190,남원시,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52210,김제시,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52710,완주군,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52720,진안군,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52730,무주군,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52740,장수군,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52750,임실군,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52770,순창군,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52790,고창군,METROPOLITAN:52
2026-09-02-v1,2026-07-01,3,BASIC_REGION:52800,부안군,METROPOLITAN:52
