policyVersion,regionDatasetVersion,groupKey,latitude,longitude
2026-09-02-v1,2026-07-01,BASIC_REGION:28710,37.71373921,126.40488901
2026-09-02-v1,2026-07-01,BASIC_REGION:28720,37.60394595,125.71836896
2026-09-02-v1,2026-07-01,BASIC_REGION:30110,36.33184188,127.44869789
2026-09-02-v1,2026-07-01,BASIC_REGION:30140,36.31706229,127.41233411
2026-09-02-v1,2026-07-01,BASIC_REGION:30170,36.32883430,127.37032143
2026-09-02-v1,2026-07-01,BASIC_REGION:30200,36.37597190,127.33697135
2026-09-02-v1,2026-07-01,BASIC_REGION:30230,36.39352362,127.43043203
2026-09-02-v1,2026-07-01,BASIC_REGION:31110,35.56655518,129.32288356
2026-09-02-v1,2026-07-01,BASIC_REGION:31140,35.53185569,129.31382597
2026-09-02-v1,2026-07-01,BASIC_REGION:31170,35.51481280,129.42403475
2026-09-02-v1,2026-07-01,BASIC_REGION:31200,35.59802518,129.37399002
2026-09-02-v1,2026-07-01,BASIC_REGION:31710,35.52701072,129.20306374
2026-09-02-v1,2026-07-01,BASIC_REGION:36110,36.53282620,127.26465756
2026-09-02-v1,2026-07-01,BASIC_REGION:41110,37.27532584,127.01641895
2026-09-02-v1,2026-07-01,BASIC_REGION:41130,37.41549000,127.13237301
2026-09-02-v1,2026-07-01,BASIC_REGION:41150,37.73673475,127.05997927
2026-09-02-v1,2026-07-01,BASIC_REGION:41170,37.39498925,126.93809716
2026-09-02-v1,2026-07-01,BASIC_REGION:41190,37.49744894,126.78578880
2026-09-02-v1,2026-07-01,BASIC_REGION:41210,37.46515893,126.86553694
2026-09-02-v1,2026-07-01,BASIC_REGION:41220,37.02900126,127.04557173
2026-09-02-v1,2026-07-01,BASIC_REGION:41250,37.90916684,127.06515900
2026-09-02-v1,2026-07-01,BASIC_REGION:41270,37.31611212,126.82674139
2026-09-02-v1,2026-07-01,BASIC_REGION:41280,37.65880461,126.81283735
2026-09-02-v1,2026-07-01,BASIC_REGION:41290,37.42927325,126.99486637
2026-09-02-v1,2026-07-01,BASIC_REGION:41310,37.60065276,127.13449494
2026-09-02-v1,2026-07-01,BASIC_REGION:41360,37.65110826,127.21084423
2026-09-02-v1,2026-07-01,BASIC_REGION:41370,37.15759190,127.06045242
2026-09-02-v1,2026-07-01,BASIC_REGION:41390,37.38158212,126.76999591
2026-09-02-v1,2026-07-01,BASIC_REGION:41410,37.35429539,126.93027874
2026-09-02-v1,2026-07-01,BASIC_REGION:41430,37.36244269,126.98247761
2026-09-02-v1,2026-07-01,BASIC_REGION:41450,37.53326110,127.19335824
2026-09-02-v1,2026-07-01,BASIC_REGION:41460,37.26946320,127.14872438
2026-09-02-v1,2026-07-01,BASIC_REGION:41480,37.79273355,126.78455447
2026-09-02-v1,2026-07-01,BASIC_REGION:41500,37.22972442,127.46970264
2026-09-02-v1,2026-07-01,BASIC_REGION:41550,37.02945945,127.28496907
2026-09-02-v1,2026-07-01,BASIC_REGION:41570,37.65315321,126.65772003
